,,,,,,,,,,PALLET DIMENSIONS,,,,,,,
ITEM CLASS,ITEM NUMBER,,,LENGTH,WIDTH,DEPTH,DESCRIPTION,COLOR,STRENGTH,LENGTH,WIDTH,DEPTH,WEIGHT/M ,BUNDLE QTY,PALLET QTY,UNIT OF MEASURE,COST
CB,30302021,Indestructo Mailer Box,RETT,03,02,02,Indestructo Mailer Box 3 X 2 X 2,#3 White,200#,,,,93,100,2000,Each,0.304
CB,30303011,Indestructo Mailer Box,RETT,03,03,01,Indestructo Mailer Box 3 X 3 X 1,#3 White,200#,,,,85,100,2000,Each,0.255
CB,30303021,Indestructo Mailer Box,RETT,03,03,02,Indestructo Mailer Box 3 X 3 X 2,#3 White,200#,,,,91,100,2000,Each,0.289
CB,30303031,Indestructo Mailer Box,RETT,03,03,03,Indestructo Mailer Box 3 X 3 X 3,#3 White,200#,,,,100,100,2000,Each,0.322
CB,30303012,Indestructo Mailer Box,RETT,03,03,01,Indestructo Mailer Box 3-1/2 X 3-1/2 X 1,#3 White,200#,,,,105,100,2000,Each,0.387
CB,30402021,Indestructo Mailer Box,RETT,04,02,02,Indestructo Mailer Box 4 X 2 X 2,#3 White,200#,,,,58,100,2000,Each,0.361
CB,30403021,Indestructo Mailer Box,RETT,04,03,02,Indestructo Mailer Box 4 X 3 X 2,#3 White,200#,,,,76,100,2000,Each,0.253
CB,30403031,Indestructo Mailer Box,RETT,04,03,03,Indestructo Mailer Box 4 X 3 X 3,#3 White,200#,,,,84,100,2000,Each,0.389
CB,30404021,Indestructo Mailer Box,RETT,04,04,02,Indestructo Mailer Box 4 X 4 X 2,#3 White,200#,,,,100,100,2000,Each,0.340
CB,30404031,Indestructo Mailer Box,RETT,04,04,03,Indestructo Mailer Box 4 X 4 X 3,#3 White,200#,,,,140,100,2000,Each,0.416
CB,30404041,Indestructo Mailer Box,RETT,04,04,04,Indestructo Mailer Box 4 X 4 X 4,#3 White,200#,,,,160,100,2000,Each,0.475
CB,30404022,Indestructo Mailer Box,RETT,04,04,02,Indestructo Mailer Box 4-3/8 X 4-3/8 X 2,#3 White,200#,,,,130,100,2000,Each,0.582
