ITEM CLASS,ITEM NUMBER,,,LENGTH,WIDTH,DEPTH,DESCRIPTION,DESCRIPTION,STYLE,CALIBER,WEIGHT/M (Pounds),QUANTITY/BUNDLE,UNIT OF MEASURE,COST
CH,750101031,Reverse Tuck End Box,Custom,01,01,03,Reverse Tuck End Box 1-1/16 X 1-1/16 X 3,1-1/16 X 1-1/16 X 3,Reverse Tuck End Box,0.020,13,1000,Bundle,0.049
CH,750101011,Reverse Tuck End Box,Custom,01,01,01,Reverse Tuck End Box 1-1/2 X 1-1/2 X 1-1/2,1-1/2 X 1-1/2 X 1-1/2,Reverse Tuck End Box,0.020,14,1000,Bundle,0.045
CH,750101021,Reverse Tuck End Box,Custom,01,01,02,Reverse Tuck End Box 1-1/2 X 1-1/2 X 2,1-1/2 X 1-1/2 X 2,Reverse Tuck End Box,0.020,16,1000,Bundle,0.045
CH,750101032,Reverse Tuck End Box,Custom,01,01,03,Reverse Tuck End Box 1-3/4 X 1-1/2 X 3,1-3/4 X 1-1/2 X 3,Reverse Tuck End Box,0.020,21,1000,Bundle,0.044
CH,750202021,Reverse Tuck End Box,Custom,02,02,02,Reverse Tuck End Box 2 X 2 X 2,2 X 2 X 2,Reverse Tuck End Box,0.020,24,500,Bundle,0.044
CH,750202031,Reverse Tuck End Box,Custom,02,02,03,Reverse Tuck End Box 2 X 2 X 3,2 X 2 X 3,Reverse Tuck End Box,0.020,32,500,Bundle,0.050
CH,750202041,Reverse Tuck End Box,Custom,02,02,04,Reverse Tuck End Box 2 X 2 X 4,2 X 2 X 4,Reverse Tuck End Box,0.020,31,500,Bundle,0.057
CH,750202051,Reverse Tuck End Box,Custom,02,02,05,Reverse Tuck End Box 2 X 2 X 5,2 X 2 X 5,Reverse Tuck End Box,0.020,40,500,Bundle,0.072
CH,750202061,Reverse Tuck End Box,Custom,02,02,06,Reverse Tuck End Box 2 X 2 X 6,2 X 2 X 6,Reverse Tuck End Box,0.020,44,500,Bundle,0.078
CH,750202071,Reverse Tuck End Box,Custom,02,02,07,Reverse Tuck End Box 2 X 2 X 7,2 X 2 X 7,Reverse Tuck End Box,0.020,52,500,Bundle,0.082
CH,750202091,Reverse Tuck End Box,Custom,02,02,09,Reverse Tuck End Box 2 X 2 X 9,2 X 2 X 9,Reverse Tuck End Box,0.020,68,500,Bundle,0.112
CH,750301021,Reverse Tuck End Box,Custom,03,01,02,Reverse Tuck End Box 3 X 1 X 2,3 X 1 X 2,Reverse Tuck End Box,0.020,19,500,Bundle,0.044
CH,750301031,Reverse Tuck End Box,Custom,03,01,03,Reverse Tuck End Box 3 X 1 X 3,3 X 1 X 3,Reverse Tuck End Box,0.020,24,500,Bundle,0.044
