ITEM CLASS,ITEM NUMBER,Display Title,Category,LENGTH,WIDTH,DEPTH,DESCRIPTION,PRINT,COLOR,STRENGTH,FLUTE,STYLE,LENGTH,WIDTH,DEPTH,WEIGHT/PALLET,WEIGHT/M ,BUNDLE QTY,PALLET QTY,UNIT OF MEASURE,COST
CB,10303031,Corrugated Box,Corrugated Boxes,3,3,3,Corrugated Box 3 X 3 X 3  ,Plain,Kraft,200#,C,RSC,,,,,76,25,3600,Each,0.283
CB,10303041,Corrugated Box,Corrugated Boxes,3,3,4,Corrugated Box 3 X 3 X 4  ,Plain,Kraft,200#,C,RSC,,,,,87,25,3600,Each,0.287
CB,10303071,Corrugated Box,Corrugated Boxes,3,3,7,Corrugated Box 3 X 3 X 7  ,Plain,Kraft,200#,C,RSC,,,,,120,25,2000,Each,0.317
CB,10404031,Corrugated Box,Corrugated Boxes,4,4,3,Corrugated Box 4 X 4 X 3  ,Plain,Kraft,200#,C,RSC,,,,,114,25,3000,Each,0.24
CB,10404041,Corrugated Box,Corrugated Boxes,4,4,4,Corrugated Box 4 X 4 X 4  ,Plain,Kraft,200#,C,RSC,,,,,128,25,3000,Each,0.195
CB,10404051,Corrugated Box,Corrugated Boxes,4,4,5,Corrugated Box 4 X 4 X 5  ,Plain,Kraft,200#,C,RSC,,,,,143,25,2500,Each,0.257
CB,10404081,Corrugated Box,Corrugated Boxes,4,4,8,Corrugated Box 4 X 4 X 8  ,Plain,Kraft,200#,C,RSC,,,,,180,25,2500,Each,0.243
CB,10404091,Corrugated Box,Corrugated Boxes,4,4,9,Corrugated Box 4 X 4 X 9  ,Plain,Kraft,200#,C,RSC,,,,,200,25,1500,Each,0.348
CB,10404121,Corrugated Box,Corrugated Boxes,4,4,12,Corrugated Box 4 X 4 X 12  ,Plain,Kraft,200#,C,RSC,,,,,242,25,1200,Each,0.404
CB,10404181,Corrugated Box,Corrugated Boxes,4,4,18,Corrugated Box 4 X 4 X 18  ,Plain,Kraft,200#,C,RSC,,,,,328,25,1000,Each,0.662
CB,10404201,Corrugated Box,Corrugated Boxes,4,4,20,Corrugated Box 4 X 4 X 20  ,Plain,Kraft,200#,C,RSC,,,,,357,25,1000,Each,0.521
CB,10404241,Corrugated Box,Corrugated Boxes,4,4,24,Corrugated Box 4 X 4 X 24  ,Plain,Kraft,200#,C,RSC,,,,,414,25,1000,Each,0.656
CB,10404281,Corrugated Box,Corrugated Boxes,4,4,28,Corrugated Box 4 X 4 X 28  ,Plain,Kraft,200#,C,RSC,,,,,471,25,1200,Each,0.696
CB,10404321,Corrugated Box,Corrugated Boxes,4,4,32,Corrugated Box 4 X 4 X 32  ,Plain,Kraft,200#,C,RSC,,,,,528,25,750,Each,0.919
CB,10404361,Corrugated Box,Corrugated Boxes,4,4,36,Corrugated Box 4 X 4 X 36  ,Plain,Kraft,200#,C,RSC,,,,,585,25,600,Each,0.835
CB,10404401,Corrugated Box,Corrugated Boxes,4,4,40,Corrugated Box 4 X 4 X 40  ,Plain,Kraft,200#,C,RSC,,,,,642,25,750,Each,0.788
CB,10404481,Corrugated Box,Corrugated Boxes,4,4,48,Corrugated Box 4 X 4 X 48  ,Plain,Kraft,200#,C,RSC,,,,,757,25,500,Each,0.96
CB,10404042,Corrugated Box,Corrugated Boxes,4,4,4,Corrugated Box 4-1/2 X 4-1/2 X 4-1/2  ,Plain,Kraft,200#,C,RSC,,,,,159,25,2500,Each,0.414
CB,10503041,Corrugated Box,Corrugated Boxes,5,3,4,Corrugated Box 5 X 3 X 4  ,Plain,Kraft,200#,C,RSC,,,,,114,25,2500,Each,0.427
CB,10505031,Corrugated Box,Corrugated Boxes,5,5,3,Corrugated Box 5 X 5 X 3  ,Plain,Kraft,200#,C,RSC,,,,,158,25,2500,Each,0.25
CB,10505041,Corrugated Box,Corrugated Boxes,5,5,4,Corrugated Box 5 X 5 X 4  ,Plain,Kraft,200#,C,RSC,,,,,176,25,2000,Each,0.213
CB,10505051,Corrugated Box,Corrugated Boxes,5,5,5,Corrugated Box 5 X 5 X 5  ,Plain,Kraft,200#,C,RSC,,,,,195,25,2000,Each,0.18
CB,10505101,Corrugated Box,Corrugated Boxes,5,5,10,Corrugated Box 5 X 5 X 10  ,Plain,Kraft,200#,C,RSC,,,,,282,25,1500,Each,0.339
CB,10505052,Corrugated Box,Corrugated Boxes,5,5,5,Corrugated Box 5-1/2 X 5-1/2 X 5-1/2  ,Plain,Kraft,200#,C,RSC,,,,,231,25,2000,Each,0.367
CB,10603031,Corrugated Box,Corrugated Boxes,6,3,3,Corrugated Box 6 X 3 X 3  ,Plain,Kraft,200#,C,RSC,,,,,111,25,3000,Each,0.245
CB,10604021,Corrugated Box,Corrugated Boxes,6,4,2,Corrugated Box 6 X 4 X 2  ,Plain,Kraft,200#,C,RSC,,,,,104,25,3500,Each,0.323
CB,10604031,Corrugated Box,Corrugated Boxes,6,4,3,Corrugated Box 6 X 4 X 3  ,Plain,Kraft,200#,C,RSC,,,,,140,25,3000,Each,0.21
CB,10604032,Corrugated Box,Corrugated Boxes,6,4,3,Corrugated Box 6 X 4 X 3-1/2  ,Plain,Kraft,200#,C,RSC,,,,,150,25,2500,Each,0.361
CB,10604041,Corrugated Box,Corrugated Boxes,6,4,4,Corrugated Box 6 X 4 X 4  ,Plain,Kraft,200#,C,RSC,,,,,158,25,2500,Each,0.165
CB,10604043,Corrugated Box,Corrugated Boxes,6,4,4,Corrugated Box 6 X 4 X 4-1/2  ,Plain,Kraft,200#,C,RSC,,,,,170,25,2500,Each,0.361
CB,10605041,Corrugated Box,Corrugated Boxes,6,5,4,Corrugated Box 6 X 5 X 4  ,Plain,Kraft,200#,C,RSC,,,,,193,25,2500,Each,0.254
CB,10605042,Corrugated Box,Corrugated Boxes,6,5,4,Corrugated Box 6 X 5 X 4-1/2  ,Plain,Kraft,200#,C,RSC,,,,,190,25,2500,Each,0.334
CB,10605051,Corrugated Box,Corrugated Boxes,6,5,5,Corrugated Box 6 X 5 X 5  ,Plain,Kraft,200#,C,RSC,,,,,212,25,1500,Each,0.263
CB,10606021,Corrugated Box,Corrugated Boxes,6,6,2,Corrugated Box 6 X 6 X 2  ,Plain,Kraft,200#,C,RSC,,,,,189,25,3000,Each,0.255
CB,10606031,Corrugated Box,Corrugated Boxes,6,6,3,Corrugated Box 6 X 6 X 3  ,Plain,Kraft,200#,C,RSC,,,,,210,25,2500,Each,0.268
CB,10606041,Corrugated Box,Corrugated Boxes,6,6,4,Corrugated Box 6 X 6 X 4  ,Plain,Kraft,200#,C,RSC,,,,,231,25,2000,Each,0.168
CB,10606051,Corrugated Box,Corrugated Boxes,6,6,5,Corrugated Box 6 X 6 X 5  ,Plain,Kraft,200#,C,RSC,,,,,252,25,1500,Each,0.307
CB,10606061,Corrugated Box,Corrugated Boxes,6,6,6,Corrugated Box 6 X 6 X 6  ,Plain,Kraft,200#,C,RSC,,,,,273,25,1500,Each,0.187
CB,10606101,Corrugated Box,Corrugated Boxes,6,6,10,Corrugated Box 6 X 6 X 10  ,Plain,Kraft,200#,C,RSC,,,,,333,25,1000,Each,0.476
CB,10606361,Corrugated Box,Corrugated Boxes,6,6,36,Corrugated Box 6 X 6 X 36  ,Plain,Kraft,200#,C,RSC,,,,,903,25,600,Each,1.2
CB,10606401,Corrugated Box,Corrugated Boxes,6,6,40,Corrugated Box 6 X 6 X 40  ,Plain,Kraft,200#,C,RSC,,,,,987,25,500,Each,1.432
CB,10606481,Corrugated Box,Corrugated Boxes,6,6,48,Corrugated Box 6 X 6 X 48  ,Plain,Kraft,200#,C,RSC,,,,,1155,25,500,Each,1.295
CB,10705031,Corrugated Box,Corrugated Boxes,7,5,3,Corrugated Box 7 X 5 X 3  ,Plain,Kraft,200#,C,RSC,,,,,189,25,2500,Each,0.231
CB,10705051,Corrugated Box,Corrugated Boxes,7,5,5,Corrugated Box 7 X 5 X 5  ,Plain,Kraft,200#,C,RSC,,,,,231,25,2500,Each,0.249
CB,10706041,Corrugated Box,Corrugated Boxes,7,6,4,Corrugated Box 7 X 6 X 4  ,Plain,Kraft,200#,C,RSC,,,,,249,25,1500,Each,0.315
CB,10706061,Corrugated Box,Corrugated Boxes,7,6,6,Corrugated Box 7 X 6 X 6  ,Plain,Kraft,200#,C,RSC,,,,,294,25,1500,Each,0.345
