CLASS,ITEM NUMBER,,,DESCRIPTION,SIZE (Inches),CLIPS,HOOK,COLOR,HANGERS/CASE,UNIT OF MEASURE,COST
HP,1104W,Bottom Hanger,Hangers,Bottom Hanger,11,,,White,250,Case,12.5
HP,226W,Bottom Hanger with Padded Pinch Clips,Hangers,Bottom Hanger with Padded Pinch Clips,12,,,Black,200,Case,15
HP,3320-HAB-HOS,Bottom Hanger with Padded Pinch Clips,Hangers,Bottom Hanger with Padded Pinch Clips,12,,Silver,Black,200,Case,15.41
HP,3328R-HAB-HOS,Bottom Hanger with Pinch Clips,Hangers,Bottom Hanger with Pinch Clips,10,,Silver,Black,200,Case,15.58
HP,3329-HAB-HOS,Bottom Hanger with Pinch Clips,Hangers,Bottom Hanger with Pinch Clips,12,,Silver,Black,200,Case,33
HP,422W,Bottom Hanger with Pinch Clips,Hangers,Bottom Hanger with Pinch Clips,8,,,White,200,Case,31.56
HP,472W,Bottom Hanger with Pinch Clips,Hangers,Bottom Hanger with Pinch Clips,10,,,White,200,Case,31.6
HP,484-HAB-HOS,"Clip Hanger with 11.4"" Drop Loop",Hangers,"Clip Hanger with 11.4"" Drop Loop",8,,,White,200,Case,22
HP,484R-HAB-HOS,"Hanger with 7"" Drop",Hangers,"Hanger with 7"" Drop (Snap Into Slot)",12,,,White,250,Case,39.68
HP,485R-HAB-HOS,Hanger with Pinch Clips,Hangers,Hanger with Pinch Clips,8,,,,200,Case,28.22
HP,495W,Hanger with Pinch Clips,Hangers,Hanger with Pinch Clips,12,,,,200,Case,31.9
HP,496W,"Hanger with Pinch Clips and 4"" Drop Loop",Hangers,"Hanger with Pinch Clips and 4"" Drop Loop",8,,,,200,Case,30
HP,497R-HAB-HOS,"Heavy Weight Hanger with 3.75"" Hook",Hangers,"Heavy Weight Hanger with 3.75"" Hook",19,,Silver,Black,100,Case,8
HP,498R-HAB-HOS,"Heavy Weight Hanger with 5.25"" Hook",Hangers,"Heavy Weight Hanger with 5.25"" Hook",17,,Silver,Black,100,Case,12
HP,498-HAB-HOS,"Heavy Weight Hanger with 5.25"" Hook",Hangers,"Heavy Weight Hanger with 5.25"" Hook",19,,Silver,Black,100,Case,26.82
HP,5131-HAB-HOB-CLB-SAKS,Heavy Weight Top Hanger,Hangers,Heavy Weight Top Hanger,17,,Black,Black,100,Case,17
HP,5131R-HAB-HOS-CLB,Heavy Weight Top Hanger,Hangers,Heavy Weight Top Hanger,17,,Black,Black,100,Case,25.9
HP,5131-HAC-HOS-CLS,Heavy Weight Top Hanger,Hangers,Heavy Weight Top Hanger,17,,Silver,Clear,100,Case,18.09
HP,5400-HAB-HOB,Heavy Weight Top Hanger,Hangers,Heavy Weight Top Hanger,17,,Black,Black,100,Case,39.5
HP,5400R-HAB-HOS,Knitwear Hanger,Hangers,Knitwear Hanger,17,,Silver,Black,100,Case,8
HP,5400R-HAB-HOB,Lingerie Hanger,Hangers,Lingerie Hanger,10,,,Clear,1000,Case,34
HP,5400-HAB-HOB-SAKS,Pant and Skirt Hanger with Loop,Hangers,Pant and Skirt Hanger with Loop,8,,,White,250,Case,14.5
HP,5400-HAC-HOS,Pant Hanger with Metal Clips,Hangers,Pant Hanger with Metal Clips,14,Silver,Silver,Clear,100,Case,26.75
HP,5441-HAB-HOB-CLB-SAKS,Pant Hanger with Plastic Clips,Hangers,Pant Hanger with Plastic Clips,14,Black,Black,Black,100,Case,27.9
HP,5600R-HAB-HOB,Recycled Bottom Hanger with Padded Pinch Clips,Hangers,Recycled Bottom Hanger with Padded Pinch Clips,12,,Silver,Black,200,Case,14.2
HP,584-HAB-HOS,Recycled Bottom Hanger with Padded Pinch Clips,Hangers,Recycled Bottom Hanger with Padded Pinch Clips,12,,Silver,Black,200,Case,14
HP,6008R-HAB-HOS,Recycled Bottom Hanger with Padded Pinch Clips,Hangers,Recycled Bottom Hanger with Padded Pinch Clips,12,,Silver,Black,100,Case,21
HP,6010-HAB-HOS,Recycled Bottom Hanger with Pinch Clips,Hangers,Recycled Bottom Hanger with Pinch Clips,8,,Silver,Black,200,Case,17.85
HP,6012-HAB-HOS,Recycled Bottom Hanger with Pinch Clips,Hangers,Recycled Bottom Hanger with Pinch Clips,12,,Silver,Black,200,Case,15.89
HP,6012R-HAB-HOS,Recycled Bottom Hanger with Pinch Clips,Hangers,Recycled Bottom Hanger with Pinch Clips,14,,Silver,Black,200,Case,9.4
HP,6014R-HAB-HOS,Recycled Heavy Weight Top Hanger,Hangers,Recycled Heavy Weight Top Hanger,17,,Silver,Black,100,Case,11.43
HP,6108W,Recycled Heavy Weight Top Hanger,Hangers,Recycled Heavy Weight Top Hanger,17,,Black,Black,100,Case,11.5
HP,6110W,Recycled Pant Hanger with Plastic Clips,Hangers,Recycled Pant Hanger with Plastic Clips,14,Black,Silver,Black,100,Case,13.4
HP,6212-HAB-HOB,Recycled Top Hanger,Hangers,Recycled Top Hanger,10,,Silver,Black,500,Case,45
HP,6212-HAB-HOS,Recycled Top Hanger,Hangers,Recycled Top Hanger,12,,Silver,Black,200,Case,15
HP,6212R-HAB-HOS,Recycled Top Hanger with Pinch Grips and Soft Pads,Hangers,Recycled Top Hanger with Pinch Grips and Soft Pads,17,,Black,Black,100,Case,21.24
HP,8012R-HAB-HOS,Top Hanger,Hangers,Top Hanger,10,,,Natural,1000,Case,59.51
HP,8212R-HAB-HOS,Top Hanger,Hangers,Top Hanger,15,,,White,200,Case,22
HP,A41,Top Hanger,Hangers,Top Hanger,17,,Silver,Black,200,Case,25
HP,BL64,Top Hanger,Hangers,Top Hanger,17,,Silver,Black,100,Case,7.55
HP,CH94,Top Hanger,Hangers,Top Hanger,10,,,White,500,Case,38.25
HP,GS19,Top Hanger,Hangers,Top Hanger,12,,,White,500,Case,37.45
HP,S107,Top Hanger,Hangers,Top Hanger,12,,Silver,Black,500,Case,44.75
HP,S111,Top Hanger,Hangers,Top Hanger,14,,,White,500,Case,23
HP,WP6708,Top Hanger,Hangers,Top Hanger,16,,,White,500,Case,18
HP,WP6508,Top Hanger,Hangers,Top Hanger,16,,,White,500,Case,29.57
HP,WP6512,Top Hanger,Hangers,Top Hanger,19,,Silver,Black,100,Case,8
HP,479R-HAB-HOS,Top Hanger,Hangers,Top Hanger,19,,Silver,Black,100,Case,8
HP,579R-HAB-HOS,Top Hanger with Mini Guard,Hangers,Top Hanger with Mini Guard,15,,Silver,Black,200,Case,13.93
