,,,,,,,,,,,CASE DIMENSIONS,,,,,
CLASS,ITEM NUMBER,,,DESCRIPTION,SIZE OF SHEET (Inches),SIZE OF LABELS (Inches),LABELS/SHEET,SHEETS/PACK,LABEL SHAPE,COLOR,LENGTH,WIDTH,DEPTH,WEIGHT,UNIT OF MEASURE,COST
LA,HLL-100,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1 x 1,80,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-106,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 1/2,80,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-108,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-3/4 x 2/3,60,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-110,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-1/2 x 1,50,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-112,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,1-1/2 x 4-3/4,10,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-118,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2 x 1-1/4 ,32,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-120,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-5/8 x 1,30,250,Quadrilateral,White,,,,,Pack,22.71
LA,HLL-123,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-5/6 x 1,33,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-125,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-5/6 x 1-3/8,24,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-140,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-5/6 x 1-1/2,21,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-142,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,3-3/8 x 2-1/3,8,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-144,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,3-1/2 x 2,10,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-145,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,2-3/4 x 2-1/2,12,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-146,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,3-7/16 x 2/3,30,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-150,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 1,20,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-155,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 1-1/3,14,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-160,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 1-1/2,12,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-162,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4-1/4 x 2,10,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-165,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 2,10,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-166,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4-1/4 x 2-3/4,8,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-167,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4-1/4 x 5-1/2,4,250,Quadrilateral,White,,,,,Pack,13.50
LA,HLL-168,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 3-1/3,6,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-170,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4-1/4 x 3-1/3,6,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-175,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,4 x 5,4,250,Quadrilateral,White,,,,,Pack,15.25
LA,HLL-180,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,8 x 3-1/2,3,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-185,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,8-1/2 x 5-1/2,2,250,Quadrilateral,White,,,,,Pack,22.02
LA,HLL-190,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 11,8-1/2 x 11,1,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-300,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 14,4 x 6,4,250,Quadrilateral,White,,,,,Pack,23.13
LA,HLL-301,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 14,4-1/4 x 7,4,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-303,High Speed White Laser Labels,Sheets,High Speed White Laser Labels on a Sheet,8-1/2 x 14,4-1/4 x 13,2,250,Quadrilateral,White,,,,,Pack,#N/A
LA,HLL-400,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,1/2,154,100,Circle,White,,,,,Pack,#N/A
LA,HLL-405,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,3/4,108,100,Circle,White,,,,,Pack,#N/A
LA,HLL-410,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,1,63,100,Circle,White,,,,,Pack,#N/A
LA,HLL-415,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,1-1/2,30,100,Circle,White,,,,,Pack,#N/A
LA,HLL-418,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,1-5/8,24,100,Circle,White,,,,,Pack,#N/A
LA,HLL-420,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,1-2/3,24,100,Circle,White,,,,,Pack,#N/A
LA,HLL-425,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,2,20,100,Circle,White,,,,,Pack,#N/A
LA,HLL-430,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,2-1/2,12,100,Circle,White,,,,,Pack,#N/A
LA,HLL-435,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,3,6,100,Circle,White,,,,,Pack,#N/A
LA,HLL-438,High Speed White Circle Labels,Sheets,High Speed White Circle Labels on a Sheet,8-1/2 x 11,3-1/3,6,100,Circle,White,,,,,Pack,#N/A
LA,HLL-440-BLU,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3/4,108,100,Circle,Fluorescent Blue,,,,,Pack,#N/A
LA,HLL-440-GRN,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3/4,108,100,Circle,Fluorescent Green,,,,,Pack,#N/A
LA,HLL-440-ORG,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3/4,108,100,Circle,Fluorescent Orange,,,,,Pack,#N/A
LA,HLL-440-PNK,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3/4,108,100,Circle,Fluorescent Pink,,,,,Pack,#N/A
LA,HLL-440-RED,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3/4,108,100,Circle,Fluorescent Red,,,,,Pack,#N/A
LA,HLL-440-YEL,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,3/4,108,100,Circle,Fluorescent Yellow,,,,,Pack,#N/A
LA,HLL-445-BLU,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1,63,100,Circle,Fluorescent Blue,,,,,Pack,#N/A
LA,HLL-445-GRN,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1,63,100,Circle,Fluorescent Green,,,,,Pack,#N/A
LA,HLL-445-ORG,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1,63,100,Circle,Fluorescent Orange,,,,,Pack,#N/A
LA,HLL-445-PNK,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1,63,100,Circle,Fluorescent Pink,,,,,Pack,#N/A
LA,HLL-445-RED,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1,63,100,Circle,Fluorescent Red,,,,,Pack,#N/A
LA,HLL-445-YEL,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1,63,100,Circle,Fluorescent Yellow,,,,,Pack,#N/A
LA,HLL-450-BLU,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-1/2,30,100,Circle,Fluorescent Blue,,,,,Pack,#N/A
LA,HLL-450-GRN,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-1/2,30,100,Circle,Fluorescent Green,,,,,Pack,#N/A
LA,HLL-450-ORG,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-1/2,30,100,Circle,Fluorescent Orange,,,,,Pack,#N/A
LA,HLL-450-PNK,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-1/2,30,100,Circle,Fluorescent Pink,,,,,Pack,#N/A
LA,HLL-450-RED,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-1/2,30,100,Circle,Fluorescent Red,,,,,Pack,#N/A
LA,HLL-450-YEL,High Speed Fluorescent Colored Circle Labels,Sheets,High Speed Fluorescent Colored Circle Labels on a Sheet,8-1/2 x 11,1-1/2,30,100,Circle,Fluorescent Yellow,,,,,Pack,#N/A
