,,,,,SIZE,,,,
CLASS,ITEM NUMBER,,,DESCRIPTION,WIDTH,LENGTH,QUANTITY/CASE,UNIT OF MEASURE,COST
MA,PM-Poly01,Poly Mailers with Security Layer,Poly mailers,Poly Mailers with Security Layer - 6 x 9,6.00,9.00," 1,000 ",Case,27.00
MA,PM-Poly02,Poly Mailers with Security Layer,Poly mailers,Poly Mailers with Security Layer - 7.5 x 10.5,7.50,10.50," 1,000 ",Case,24.72
MA,PM-Poly03,Poly Mailers with Security Layer,Poly mailers,Poly Mailers with Security Layer - 9 x 12,9.00,12.00," 1,000 ",Case,31.93
MA,PM-Poly04,Poly Mailers with Security Layer,Poly mailers,Poly Mailers with Security Layer - 10 x 13,10.00,13.00," 1,000 ",Case,37.08
MA,PM-Poly05,Poly Mailers with Security Layer,Poly mailers,Poly Mailers with Security Layer - 12 x 15.5,12.00,15.50, 500 ,Case,26.88
MA,PM-Poly07,Poly Mailers with Security Layer,Poly mailers,Poly Mailers with Security Layer - 14.5 x 19,14.50,19.00, 500 ,Case,40.33
MA,PM-Poly08,Poly Mailers with Security Layer,Poly mailers,Poly Mailers with Security Layer - 19 x 24,19.00,24.00, 300 ,Case,33.00
MA,PM-Poly09,Poly Mailers with Security Layer,Poly mailers,Poly Mailers with Security Layer - 24 x 24,24.00,24.00, 300 ,Case,48.25
MA,MLK-000,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 4 x 8,4.00,8.00, 500 ,Case,25.50
MA,MLK-00,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 5 x 10,5.00,10.00, 250 ,Case,17.50
MA,MLK-0,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 6.25 x 10,6.25,10.00, 250 ,Case,20.40
MA,MLK-1,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 7.25 x 12,7.25,12.00, 100 ,Case,11.40
MA,MLK-2,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 8.5 x 12,8.50,12.00, 100 ,Case,12.40
MA,MLK-3,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 8.5 x 14.5,8.50,14.50, 100 ,Case,14.70
MA,MLK-4,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 9.5 x 14.5,9.50,14.50, 100 ,Case,15.50
MA,MLK-5,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 10.5 x 16,10.50,16.00, 100 ,Case,18.50
MA,MLK-6,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 12.5 x 19,12.50,19.00, 50 ,Case,14.00
MA,MLK-7,Kraft Bubble Mailers,Kraft bubble mailers,Kraft Bubble Mailers - 14.25 x 20,14.25,20.00, 50 ,Case,15.85
MA,PBM-000,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 4 x 8,4.00,8.00, 500 ,Case,28.00
MA,PBM-00,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 5 x 10,5.00,10.00, 250 ,Case,25.50
MA,PBM-0,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 6.25 x 10,6.25,10.00, 250 ,Case,28.80
MA,PBM-1,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 7.25 x 12,7.25,12.00, 100 ,Case,18.30
MA,PBM-2,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 8.5 x 12,8.50,12.00, 100 ,Case,19.90
MA,PBM-3,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 8.5 x 14.5,8.50,14.50, 100 ,Case,22.90
MA,PBM-4,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 9.5 x 14.5,9.50,14.50, 100 ,Case,24.65
MA,PBM-5,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 10.5 x 16,10.50,16.00, 100 ,Case,21.71
MA,PBM-6,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 12.5 x 19,12.50,19.00, 50 ,Case,19.25
MA,PBM-7,Poly Bubble Mailers,Poly mailers,Poly Bubble Mailers - 14.25 x 20,14.25,20.00, 50 ,Case,21.14
