CLASS,ITEM NUMBER,,,DESCRIPTION,SIZE,THICKNESS (Inches),LENGTH (Inches),PIECES/PALLET,UNIT OF MEASURE,COST
VB,2216036,Edge Protectors,Shipping Supplies,Edge Protectors,2 x 2,0.160,36," 2,106 ",Pallet, 525.66 
VB,2216048,Edge Protectors,Shipping Supplies,Edge Protectors,2 x 2,0.160,48," 2,106 ",Pallet, 700.88 
VB,2216060,Edge Protectors,Shipping Supplies,Edge Protectors,2 x 2,0.160,60," 2,106 ",Pallet, 876.10 
VB,2216072,Edge Protectors,Shipping Supplies,Edge Protectors,2 x 2,0.160,72," 2,106 ",Pallet," 1,051.32 "
VB,2212048,Edge Protectors,Shipping Supplies,Edge Protectors,2 x 2,0.120,48," 2,808 ",Pallet, 759.28 
VB,2212072,Edge Protectors,Shipping Supplies,Edge Protectors,2 x 2,0.120,72," 2,808 ",Pallet," 1,138.92 "
VB,3316048,Edge Protectors,Shipping Supplies,Edge Protectors,3 x 3,0.160,48," 1,458 ",Pallet, 727.83 
VB,2222548,Edge Protectors,Shipping Supplies,Edge Protectors,2 x 2,0.225,48," 1,560 ",Pallet, 778.75 
VB,2222560,Edge Protectors,Shipping Supplies,Edge Protectors,2 x 2,0.225,60," 1,560 ",Pallet, 973.44 
VB,2222572,Edge Protectors,Shipping Supplies,Edge Protectors,2 x 2,0.225,72," 1,560 ",Pallet," 1,168.13 "
VB,252522548,Edge Protectors,Shipping Supplies,Edge Protectors,2.5 x 2.5,0.225,48," 1,320 ",Pallet, 713.86 
