CLASS,ITEM NUMBER,,,DESCRIPTION,SIZE,SIZE #,UNIT OF MEASURE,COST
RB,008,Rubber Bands,Shipping Supplies,Rubber Bands,"7/8 x 1/16""",8,1 LB. BAG,4.50
RB,010,Rubber Bands,Shipping Supplies,Rubber Bands,"1-1/4 x 1/16""",10,1 LB. BAG,4.50
RB,012,Rubber Bands,Shipping Supplies,Rubber Bands,"1-3/4 x 1/16""",12,1 LB. BAG,4.50
RB,014,Rubber Bands,Shipping Supplies,Rubber Bands,"2 x 1/16""",14,1 LB. BAG,4.50
RB,030,Rubber Bands,Shipping Supplies,Rubber Bands,"2 x 1/8""",30,1 LB. BAG,4.50
RB,016,Rubber Bands,Shipping Supplies,Rubber Bands,"2-1/2 x 1/16""",16,1 LB. BAG,4.50
RB,031,Rubber Bands,Shipping Supplies,Rubber Bands,"2-1/2 x 1/8""",31,1 LB. BAG,4.50
RB,062,Rubber Bands,Shipping Supplies,Rubber Bands,"2-1/2 x 1/4""",62,1 LB. BAG,4.50
RB,018,Rubber Bands,Shipping Supplies,Rubber Bands,"3 x 1/16""",18,1 LB. BAG,4.50
RB,032,Rubber Bands,Shipping Supplies,Rubber Bands,"3 x 1/8""",32,1 LB. BAG,4.50
RB,073,Rubber Bands,Shipping Supplies,Rubber Bands,"3 x 3/8""",73,1 LB. BAG,4.50
RB,019,Rubber Bands,Shipping Supplies,Rubber Bands,"3-1/2 x 1/16""",19,1 LB. BAG,4.50
RB,033,Rubber Bands,Shipping Supplies,Rubber Bands,"3-1/2 x 1/8""",33,1 LB. BAG,4.50
RB,064,Rubber Bands,Shipping Supplies,Rubber Bands,"3-1/2 x 1/4""",64,1 LB. BAG,4.50
RB,054,Rubber Bands,Shipping Supplies,Rubber Bands,Assorted,54,1 LB. BAG,4.50
RB,117B,Rubber Bands,Shipping Supplies,Rubber Bands,"7 x 1/8""",117B,5 LB. BAG,24.99
